year,deflator,nGDP,rGDP
2007,86.43054,1544637.0,1787143.0
2008,89.39269,1593600.0,1782696.0
2009,91.08855,1548802.0,1700326.0
2010,92.53603,1608553.0,1738299.0
2011,94.56811,1662590.0,1758087.0
2012,96.02705,1713715.0,1784617.0
2013,98.05269,1781361.0,1816739.0
2014,99.34591,1862514.0,1874777.0
2015,100.0,1916451.0,1916451.0
2016,101.9641,1991645.0,1953280.0
2017,103.8557,2082482.0,2005169.0
2018,105.8504,2152304.0,2033345.0
2019,108.1081,2233921.0,2066376.0
2020,113.4809,2103486.0,1853603.0
2021,113.5565,2285400.0,2012567.0
2022,119.7384,2526428.0,2109957.0
2023,128.4772,2720029.0,2117130.0
2024,132.0963,2822158.0,2136440.0
2025,134.8654,2929895.0,2172459.0
2026,137.5248,3026054.0,2200370.0
2027,140.2562,3131103.0,2232416.0
2028,143.1289,3239094.0,2263061.0
2029,146.0835,3350493.0,2293547.0
